date,predicted_kwh,lower_bound,upper_bound
2026-07-01,4849.99,3530.52,6212.63
2026-07-02,4782.98,3401.82,6132.9
2026-07-03,4712.83,3422.15,6150.94
2026-07-04,4597.11,3326.78,5900.68
2026-07-05,2997.07,1626.08,4327.23
2026-07-06,4427.81,3091.16,5730.29
2026-07-07,4469.79,3130.14,5786.98
2026-07-08,4814.64,3541.1,6201.82
2026-07-09,4747.63,3399.73,6023.94
2026-07-10,4677.48,3223.39,6030.37
2026-07-11,4561.76,3210.26,5847.48
2026-07-12,2961.72,1661.4,4305.75
2026-07-13,4392.46,2863.73,5794.66
2026-07-14,4434.44,3057.81,5745.97
