shift_date,shift,total_kwh,avg_power_kw,connectivity_slots,total_slots,gap_pct,day_quality
2025-09-02,Shift B,2245.4384237769455,,70,84,83.33,poor
2025-09-02,Shift C,2173.099455180295,,96,96,100.0,poor
2025-09-03,Shift A,2178.262305949425,1.6884285721428571,84,96,87.5,poor
2025-09-03,Shift B,2438.3999125333335,1.9528333320833333,45,96,46.88,poor
2025-09-03,Shift C,2017.6000976,1.7362117655294118,0,96,0.0,good
2025-09-04,Shift A,2007.9992672000003,1.7332023821190474,0,96,0.0,good
2025-09-04,Shift B,2001.3415207783776,1.7872428638285713,12,96,12.5,moderate
2025-09-04,Shift C,2357.059352821621,1.96134375040625,61,96,63.54,poor
2025-09-05,Shift A,2187.1997120000015,1.7221758156043956,0,96,0.0,good
2025-09-05,Shift B,2337.598879999998,1.8202957754507043,19,96,19.79,moderate
2025-09-05,Shift C,2246.40136,1.7441935487419356,0,96,0.0,good
2025-09-06,Shift A,2255.11054488889,1.8092253560845069,22,96,22.92,poor
2025-09-06,Shift B,2159.2888791111127,1.6975749954875,13,96,13.54,moderate
2025-09-06,Shift C,2393.6010719999967,1.8619021760760872,0,96,0.0,good
2025-09-07,Shift A,1379.1992160000018,1.0588488412906978,3,96,3.12,good
2025-09-07,Shift B,1809.5996160000004,1.3988260885652175,0,96,0.0,good
2025-09-07,Shift C,2006.4013599999998,1.5771263160526314,0,96,0.0,good
2025-09-08,Shift A,1932.797856000002,1.5076444414666668,3,96,3.12,good
2025-09-08,Shift B,1932.8002879999985,1.66418000576,37,96,38.54,poor
2025-09-08,Shift C,2059.201664000002,1.6253225854408602,0,96,0.0,good
2025-09-09,Shift A,1977.5976480000008,1.5317977492921349,6,96,6.25,moderate
2025-09-09,Shift B,2358.403327999995,1.67368000032,68,96,70.83,poor
2025-09-09,Shift C,2152.387698341464,1.7464366144084509,21,96,21.88,poor
2025-09-10,Shift A,2017.2119016585373,1.5915714416857145,59,96,61.46,poor
2025-09-10,Shift B,2209.599615999996,1.7185479483424657,18,96,18.75,moderate
2025-09-10,Shift C,2065.6005920000007,1.6032808978764046,4,96,4.17,good
2025-09-11,Shift A,1921.5999253333364,1.7087230774000002,18,96,18.75,moderate
2025-09-11,Shift B,2356.7985066666674,1.8243658527317073,51,96,53.12,poor
2025-09-11,Shift C,2102.557868800004,1.6363260862065216,2,96,2.08,good
2025-09-12,Shift A,1967.8432770461495,1.4535217402391303,49,96,51.04,poor
2025-09-12,Shift B,2342.3967101538437,1.7952857272142857,79,96,82.29,poor
2025-09-12,Shift C,1806.4013599999998,1.4253333313655916,0,96,0.0,good
2025-09-13,Shift A,1816.0009760000048,1.433290325172043,0,96,0.0,good
2025-09-13,Shift B,2542.3974720000024,1.8831428629387754,46,96,47.92,poor
2025-09-13,Shift C,2131.201167999998,1.6611914913723405,0,96,0.0,good
2025-09-14,Shift A,1454.5244836923066,1.00866000292,45,96,46.88,poor
2025-09-14,Shift B,2095.8759003076884,1.7202658185696202,13,96,13.54,moderate
2025-09-14,Shift C,1982.7207056000057,1.5917381019761905,53,96,55.21,poor
2025-09-15,Shift A,1890.8779343999943,1.435767857125,37,96,38.54,poor
2025-09-15,Shift B,2193.5986240000057,1.7600459846781609,5,96,5.21,moderate
2025-09-15,Shift C,2384.003904000001,1.8705384573846155,0,96,0.0,good
2025-09-16,Shift A,2127.9980479999904,1.645548383376344,0,96,0.0,good
2025-09-16,Shift B,2454.4043039999997,1.6983913183043478,68,96,70.83,poor
2025-09-16,Shift C,1811.2011680000069,1.7710845085070421,0,96,0.0,good
2025-09-17,Shift A,1936.6515378823556,1.5582033941864406,35,96,36.46,poor
2025-09-17,Shift B,2672.1472861176403,2.0409199858,67,96,69.79,poor
2025-09-17,Shift C,2242.3925839999993,1.7610561740449437,3,96,3.12,good
2025-09-18,Shift A,2402.873966588247,1.7234871845897437,54,96,56.25,poor
2025-09-18,Shift B,2384.333057411752,1.9353249833500001,37,96,38.54,poor
2025-09-18,Shift C,2513.5937600000034,2.0025777777222222,2,96,2.08,good
2025-09-19,Shift A,2230.400384000004,1.7775000022391305,0,96,0.0,good
2025-09-19,Shift B,2281.145375999999,2.0889615431282054,0,96,0.0,good
2025-09-19,Shift C,2338.0538399999987,1.886853929292135,0,96,0.0,good
