shift_date,total_kwh,peak_kwh,avg_power_kw,connectivity_slots,total_slots,gap_pct,day_quality
2026-06-01,1474.4208435739954,11.95319999998901,0.4492162160540541,8,288,2.78,good
2026-06-02,1165.6751689604423,11.99216000000888,0.3767123287945205,3,288,1.04,good
2026-06-03,1433.9065585605567,11.197920000025382,0.3858684189342105,5,288,1.74,good
2026-06-04,1090.135497066755,11.210920000012266,0.3468833328666666,7,288,2.43,good
2026-06-05,1403.202317333101,27.18751999986125,0.3755789477763158,4,288,1.39,good
2026-06-06,1691.1909018949402,30.31263999990188,0.4090833305138889,11,288,3.82,good
2026-06-07,1946.6755567719392,17.5,0.5263296668791209,23,288,7.99,moderate
2026-06-08,3888.072906666688,30.31248000013875,0.8971034468620689,184,288,63.89,poor
2026-06-09,4731.093760000076,52.81247999984771,1.282712643862069,166,288,57.64,poor
2026-06-10,4533.888906666608,54.37504000001354,1.3009838731129033,180,288,62.5,poor
2026-06-11,3372.3089600000662,35.23440000004484,1.2698103436034482,103,288,35.76,poor
2026-06-12,3923.1249599999865,28.39844000001904,1.3981052605921054,97,288,33.68,poor
2026-06-13,5374.5313599999645,33.59368000004906,1.4797708289270834,142,288,49.31,poor
2026-06-14,2624.4270933333123,22.91669333334236,0.7749390231219512,60,288,20.83,poor
2026-06-15,4760.706849523897,27.343840000103228,1.402025316278481,141,288,48.96,poor
2026-06-16,5325.713915275895,41.7187200000626,1.3601621690630632,120,288,41.67,poor
2026-06-17,5179.218720000063,44.84378666665483,1.3411739073260869,183,288,63.54,poor
2026-06-18,4396.77087999987,35.20831999999549,1.2987042245633802,132,288,45.83,poor
2026-06-19,4327.472877333639,43.20311999996193,1.2946849325068492,156,288,54.17,poor
2026-06-20,4152.031306666613,57.65616000018781,1.2253132489638554,131,288,45.49,poor
2026-06-21,1772.1315109328134,22.343680000049066,0.6272857146571429,35,288,12.15,moderate
2026-06-22,4342.4019797335495,48.04688000003807,1.1298089879213482,145,288,50.35,poor
2026-06-23,4122.187520000055,38.28112000017427,1.1804074144567902,128,288,44.44,poor
2026-06-24,4950.900069866524,45.54680000001099,1.3585591377419357,131,288,45.49,poor
2026-06-25,4572.304613333424,36.87504000001354,1.1777282578369566,185,288,64.24,poor
2026-06-26,2417.691330666348,16.31251199997496,0.6839156630963855,85,288,29.51,poor
2026-06-27,5390.416693333343,43.69792000002538,1.420839289741071,103,288,35.76,poor
2026-06-28,4053.385439999984,31.979199999962773,1.1009247343010753,109,288,37.85,poor
2026-06-29,4623.958346666768,46.406239999923855,1.4211411742705882,110,288,38.19,poor
2026-06-30,3157.812373333339,35.15616000018781,1.3741311499344262,77,204,37.75,poor
