date,predicted_kwh,lower_bound,upper_bound
2026-07-01,4849.99,3572.89,6156.18
2026-07-02,4782.98,3392.55,6042.8
2026-07-03,4712.83,3418.0,6160.17
2026-07-04,4597.11,3302.43,5947.93
2026-07-05,2997.07,1666.86,4268.34
2026-07-06,4427.81,3125.42,5746.49
2026-07-07,4469.79,3131.33,5747.58
2026-07-08,4814.64,3412.66,6137.93
2026-07-09,4747.63,3406.91,6070.98
2026-07-10,4677.48,3308.18,6091.16
2026-07-11,4561.76,3173.17,5791.1
2026-07-12,2961.72,1647.06,4416.98
2026-07-13,4392.46,3068.39,5727.56
2026-07-14,4434.44,3099.88,5741.68
